"","zip","city","state","latitude","longitude"
"415","01463","Pepperell","MA",42.665686,-71.5929
"416","01464","Shirley","MA",42.559289,-71.64555
"417","01467","Still River","MA",42.488666,-71.62412
"418","01468","Templeton","MA",42.557796,-72.06824
"419","01469","Townsend","MA",42.658738,-71.69204
"420","01470","Groton","MA",42.446396,-71.459405
"421","01471","Groton","MA",42.446396,-71.459405
"422","01472","West Groton","MA",42.446396,-71.459405
"423","01473","Westminster","MA",42.544622,-71.9021
"424","01474","West Townsend","MA",42.669408,-71.74578
"425","01475","Winchendon","MA",42.675441,-72.0467
"426","01477","Winchendon Springs","MA",42.364807,-71.896868
"427","01501","Auburn","MA",42.20361,-71.83843
"428","01503","Berlin","MA",42.380562,-71.62665
"429","01504","Blackstone","MA",42.028147,-71.52999
"430","01505","Boylston","MA",42.338392,-71.73026
"431","01506","Brookfield","MA",42.200374,-72.09787
"432","01507","Charlton","MA",42.135142,-71.96961
"433","01508","Charlton City","MA",42.109748,-72.079455
"434","01509","Charlton Depot","MA",42.364807,-71.896868
"435","01510","Clinton","MA",42.418836,-71.68482
"436","01515","East Brookfield","MA",42.212777,-72.05311
"437","01516","Douglas","MA",42.061437,-71.72887
"438","01517","East Princeton","MA",42.364807,-71.896868
"439","01518","Fiskdale","MA",42.12515,-72.12393
"440","01519","Grafton","MA",42.201674,-71.68771
"441","01520","Holden","MA",42.338962,-71.84434
"442","01521","Holland","MA",42.054676,-72.16137
"443","01522","Jefferson","MA",42.369658,-71.87418
"444","01523","Lancaster","MA",42.473131,-71.67946
"445","01524","Leicester","MA",42.238942,-71.91908
"446","01525","Linwood","MA",42.364807,-71.896868
"447","01526","Manchaug","MA",42.364807,-71.896868
"448","01527","Millbury","MA",42.196144,-71.76272
"449","01529","Millville","MA",42.036396,-71.57798
"450","01531","New Braintree","MA",42.317121,-72.12248
"451","01532","Northborough","MA",42.321917,-71.64692
"452","01534","Northbridge","MA",42.140741,-71.64376
"453","01535","North Brookfield","MA",42.267274,-72.07823
"454","01536","North Grafton","MA",42.231444,-71.70523
"455","01537","North Oxford","MA",42.170846,-71.88989
"456","01538","North Uxbridge","MA",42.364807,-71.896868
"457","01540","Oxford","MA",42.117527,-71.8657
"458","01541","Princeton","MA",42.451569,-71.882
"459","01542","Rochdale","MA",42.194793,-71.90651
"460","01543","Rutland","MA",42.380877,-71.96427
"461","01545","Shrewsbury","MA",42.286643,-71.72502
"462","01546","Shrewsbury","MA",42.364807,-71.896868
"463","01550","Southbridge","MA",42.070827,-72.03533
"464","01560","South Grafton","MA",42.177462,-71.69382
"465","01561","South Lancaster","MA",42.443539,-71.686137
"466","01562","Spencer","MA",42.247212,-71.99227
"467","01564","Sterling","MA",42.436875,-71.77333
"468","01566","Sturbridge","MA",42.104581,-72.08584
"469","01568","Upton","MA",42.17382,-71.60971
"470","01569","Uxbridge","MA",42.064978,-71.62992
"471","01570","Webster","MA",42.047728,-71.86108
"472","01571","Dudley","MA",42.049864,-71.9173
"473","01580","Westborough","MA",42.364807,-71.896868
"474","01581","Westborough","MA",42.269845,-71.61408
"475","01582","Westborough","MA",42.364807,-71.896868
"476","01583","West Boylston","MA",42.359842,-71.787
"477","01585","West Brookfield","MA",42.242965,-72.16734
"478","01586","West Millbury","MA",42.364807,-71.896868
"479","01588","Whitinsville","MA",42.114195,-71.67225
"480","01590","Sutton","MA",42.131028,-71.75121
"481","01601","Worcester","MA",42.265275,-71.879415
"482","01602","Worcester","MA",42.272359,-71.84482
"483","01603","Worcester","MA",42.240526,-71.83776
"484","01604","Worcester","MA",42.255393,-71.77459
"485","01605","Worcester","MA",42.286543,-71.78846
"486","01606","Worcester","MA",42.311342,-71.79531
"487","01607","Worcester","MA",42.229543,-71.79501
"488","01608","Worcester","MA",42.261343,-71.80173
"489","01609","Worcester","MA",42.271743,-71.81348
"490","01610","Worcester","MA",42.248493,-71.80793
"491","01611","Cherry Valley","MA",42.238449,-71.87139
"492","01612","Paxton","MA",42.307591,-71.91929
"493","01613","Worcester","MA",42.293316,-71.801971
"494","01614","Worcester","MA",42.364807,-71.896868
"495","01615","Worcester","MA",42.364807,-71.896868
"496","01634","Tolland","MA",42.069484,-72.999433
"497","01653","Worcester","MA",42.364807,-71.896868
"498","01654","Worcester","MA",42.364807,-71.896868
"499","01655","Worcester","MA",42.364807,-71.896868
"500","01701","Framingham","MA",42.318695,-71.42344
